,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199902,-4.08,-5.13,1.4,-1.7,4.09,0.35,-7.6178,-7.6401,-6.534,-5.2869,-5.858,-9.2691,-9.8332,-6.3737,-8.3368,-10.5849,-9.133,-9.0542,-5.3454,-7.4752,-4.8375,-5.3999,-3.5218,-2.9783,-3.9478,-2.1079,-4.7507,-1.9972,1.889,-1.3284,-2.7667
199903,3.45,-4.22,-2.64,-3.93,-1.38,0.43,-3.1993,-6.2783,-1.7999,-3.4351,-3.1932,0.5768,-0.1063,0.8499,-0.6404,-2.9721,4.0398,3.4778,2.6772,-2.1636,-0.4484,3.2898,4.0809,1.4039,0.4555,-0.3031,4.8119,1.5801,5.8422,4.2567,1.6034
199904,4.33,4.77,2.51,-1.79,0.92,0.37,7.7722,8.6931,12.446,10.4038,9.1551,10.8665,9.3828,7.5589,8.0962,8.413,7.5753,13.1384,10.4402,8.2252,9.8181,7.0189,10.1815,9.5093,9.9188,10.9755,-0.3665,9.1111,7.629,7.8022,4.8995
199905,-2.46,3.76,2.4,1.04,3.34,0.34,1.8335,4.3028,0.3769,3.2998,4.6271,1.4275,0.4869,2.2617,4.6012,4.1371,-0.2349,-0.5889,1.1515,2.4979,2.5954,3.0294,-0.4744,1.307,2.5345,0.0461,-3.7479,-0.2216,-1.9357,-0.0445,-1.2848
199906,4.77,2.25,-3.59,1.31,-3.39,0.4,6.5626,8.3272,8.3309,6.0786,5.988,8.1457,7.5116,7.3437,4.6861,6.5177,4.6195,4.3091,2.7954,2.8112,4.9762,7.7665,8.7655,2.6565,2.3939,4.1326,6.7441,4.9739,2.3753,0.0754,-0.6389
199907,-3.47,2.49,-0.77,0.37,3.09,0.38,0.8016,2.4445,1.0778,1.2711,1.8288,-2.3541,-0.3614,-1.3736,-1.9786,-3.9087,-3.0795,-2.1047,-1.7487,-1.8599,-0.8458,-2.5338,-2.5171,0.1076,-1.4156,-1.8193,-3.0075,-3.6792,-4.8162,-2.7838,-7.6595
199908,-1.38,-1.92,-1.31,-0.12,0.32,0.39,-3.2874,-1.2704,-2.8323,-1.6484,-3.3573,-3.203,-3.9441,-4.1651,-3.3406,-4.1707,-2.2768,-5.5935,-3.8441,-3.2656,-0.978,-1.839,-4.4669,-2.5099,-2.3847,-6.2368,0.8006,-3.6399,-2.0155,-4.4637,2.5266
199909,-2.81,2.56,-3.39,-0.71,-1.03,0.39,1.8648,-0.2513,-1.2012,-2.6246,-3.8946,0.3909,1.0344,-0.8372,-2.2931,-1.4071,3.1613,1.2479,-3.3622,-2.8062,-2.7942,1.8941,-3.7144,-3.6235,-4.8147,-1.5239,-1.939,-3.1993,-6.8968,-8.9906,-7.6382
199910,6.13,-7.13,-2.88,-1.94,-1.27,0.39,-0.268,1.3518,-2.3271,-0.4309,-2.708,2.9025,-0.6504,-0.7652,-1.5074,-5.23,2.7084,0.5056,-0.9076,-1.1183,-0.3181,8.2604,1.2316,2.4764,2.8276,4.9102,6.4856,10.4217,7.188,3.0698,7.3694
199911,3.37,5.92,-6.5,-3.83,-1.56,0.36,19.9389,11.3801,10.4851,7.1093,6.7221,12.3893,7.8837,5.3386,2.952,3.2851,11.7909,7.1176,-1.4986,-0.656,0.968,11.5845,-1.2156,-1.1581,0.1176,2.9344,4.5609,-0.8503,-4.0647,-5.8114,0.3072
