,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
201304,1.55,-2.29,0.63,0.08,0.49,0,-0.0905,-0.3291,-0.9762,-0.7642,0.8369,-1.2653,-1.7741,-1.1276,-1.5406,1.5632,-1.9659,0.6672,-0.7401,-0.9056,-1.6834,0.9395,1.2157,0.0197,1.5465,0.8475,1.8603,1.5416,2.4265,1.5423,3.3364
201305,2.8,2.07,2.6,-1.64,-0.8,0,7.8064,4.0387,3.6475,6.5017,4.134,5.4514,4.4428,5.9911,4.8602,7.8307,3.0777,5.5892,4.3721,5.1808,4.1908,3.6978,3.7187,1.3911,3.184,5.0037,1.9445,2.3538,0.5327,1.9426,8.7881
201306,-1.2,1.41,-0.18,-0.33,-0.07,0,-0.8207,-0.6441,1.6054,1.4416,0.1312,1.8431,-0.0872,-0.4691,-0.965,-0.4827,-0.1844,-1.1193,-1.4805,-0.8771,-0.433,-2.0446,-2.2218,-0.9789,-2.2816,-1.2403,-2.7581,-0.2978,0.2032,-0.0161,-2.9269
201307,5.65,1.81,0.56,-1.49,0.58,0,7.5236,9.5909,7.8119,8.6013,7.4637,6.7208,7.1623,6.7156,6.8991,7.9247,8.5463,6.9901,6.1629,8.071,9.0584,7.9739,4.4477,6.3012,7.6521,5.7648,5.2597,4.8957,4.6761,5.0195,6.8912
201308,-2.71,-0.01,-2.78,0.57,-2.17,0,-2.3064,-2.4425,-2.7262,-3.4869,-3.2974,-0.4451,-1.5047,-3.2211,-3.5255,-3.7631,-1.8698,-2.0057,-3.5667,-4.4788,-4.0582,-1.5899,-1.9802,-3.3978,-3.0263,-2.9602,-0.9547,-3.3106,-3.4672,-3.617,-4.4519
201309,3.77,2.67,-1.19,-0.68,-1.29,0,7.4598,8.0443,6.3988,6.7357,6.2053,7.0235,6.0965,7.4027,5.9718,5.5342,6.0058,5.9506,5.6975,5.2108,4.2404,5.4415,5.9158,4.8336,5.4854,4.4897,4.2101,2.6193,2.4143,2.7747,2.0388
201310,4.18,-1.5,1.14,2.67,0.89,0,-0.6263,1.4074,2.5716,3.4688,2.8605,0.828,0.618,1.6205,4.9473,3.7463,3.3253,3.4809,3.1688,4.2323,5.9809,2.0688,3.9461,2.7951,4.2086,6.2213,4.7847,4.5134,5.2509,3.5239,3.6351
201311,3.12,1.36,0.24,0.07,0.07,0,7.7394,5.8382,5.6189,7.2551,4.5859,5.9218,3.4075,3.5641,2.9929,5.2416,3.0944,3.2648,3.247,2.7613,3.5883,2.0208,1.7173,1.0305,-0.205,2.6919,3.6362,3.0567,1.3938,2.2639,5.8987
201312,2.81,-0.53,-0.31,-0.52,0.07,0,2.4214,3.7844,2.0988,1.3365,1.5221,2.6779,0.5651,3.4947,1.5442,1.3101,1.6387,3.9773,3.1644,3.0983,2.2207,3.1567,3.3962,3.1022,3.6558,2.6239,2.357,2.6249,3.8175,2.4798,1.8922
201401,-3.32,0.59,-2.09,-4.03,-1.38,0,2.6161,-2.8835,-1.7894,-4.1655,-2.8354,0.0255,-2.0535,-5.4464,-4.5194,-5.8664,-0.2812,-3.7113,-4.9505,-1.5053,-2.3928,-2.5037,-3.6159,-0.7135,-2.7273,-5.9205,-3.8208,-2.919,-2.9613,-4.7626,-4.0083
201402,4.65,0.14,-0.4,-0.26,-0.44,0,4.7564,2.4627,4.0542,5.915,4.6635,4.6206,4.3434,5.1711,5.3155,4.0483,6.7477,4.4173,4.9098,6.2248,4.2002,5.899,6.0431,5.0014,4.9548,5.8764,5.0944,5.0197,2.9647,4.1546,2.5605
201403,0.43,-1.18,5.08,2.17,1.89,0,-4.2111,0.2909,0.8401,1.029,1.368,-3.9136,0.5148,1.5897,0.9239,2.7129,-4.5307,-0.2918,0.8382,1.7792,2.2682,-2.2738,0.2752,0.248,1.4557,4.8021,-1.0275,0.2409,2.4258,3.535,3.7494
201404,-0.19,-4.17,1.14,3.51,1.05,0,-8.5944,-7.0576,-4.8824,-3.2487,-4.3903,-6.5426,-3.137,-3.0367,-1.9952,-2.0138,-5.4363,-1.8046,-1.3348,-1.8402,-2.8936,-2.8607,-1.1019,0.0336,0.3147,-0.46,1.1914,0.2964,1.7463,1.7162,-1.8528
201405,2.06,-1.9,-0.27,0.13,-1.06,0,-2.345,-1.6488,-0.7751,-1.0704,0.0632,-0.4788,0.2547,1.5774,-0.5403,0.185,1.371,0.386,2.5231,0.3737,1.322,2.8329,1.9128,2.6953,1.488,1.5385,2.9849,1.5125,2.3519,1.6313,1.4408
201406,2.61,3.09,-0.74,-2.01,-1.94,0,6.2676,11.0443,3.5243,4.2139,3.8048,7.5813,7.1518,5.3238,4.9522,5.9408,5.9156,5.1687,4.0846,4.4509,5.4409,4.4574,3.7861,3.4284,4.1429,3.7363,1.4332,0.9542,2.3784,3.3489,3.3418
201407,-2.04,-4.26,0.01,0.95,0.48,0,-9.0209,-7.782,-5.9279,-4.5431,-4.8854,-5.4473,-6.5293,-5.1861,-6.2398,-6.1066,-5.4924,-5.7641,-6.3505,-6.0817,-3.7142,-2.1376,-4.3836,-3.6272,-3.3038,-3.6901,-1.677,-0.9998,-0.3422,-1.8724,-1.6255
201408,4.24,0.28,-0.58,-0.64,-0.68,0,2.7485,4.58,2.668,4.7145,3.3991,5.7526,5.02,3.955,4.6261,5.4758,5.8605,4.3804,4.9928,5.2904,4.1684,5.9662,4.8885,5.491,3.6891,4.6012,4.9511,4.7452,2.2693,1.8451,5.1372
201409,-1.97,-3.79,-1.23,1.18,-0.53,0,-7.1375,-4.7593,-7.1053,-5.3897,-5.8862,-4.5815,-4.861,-5.2086,-5.2414,-8.3405,-2.8981,-6.244,-4.6543,-6.4838,-7.0788,-3.0024,-3.5945,-4.8591,-3.7948,-4.8272,-0.5254,-0.8163,-1.3535,-3.9203,-0.3552
201410,2.52,3.78,-1.68,-0.47,-0.14,0,5.8339,6.6244,6.3002,7.5017,4.2081,8.2715,6.6194,6.2784,5.3464,4.3783,6.3725,5.4805,3.7404,4.5059,3.7389,3.8508,0.6312,3.3199,3.9896,-1.1429,2.2177,2.7112,2.2122,-0.224,1.5153
201411,2.55,-2.29,-2.99,1.28,0.2,0,0.1108,0.2089,-1.1937,-1.3539,-2.648,1.4964,-0.5698,-0.6453,-0.6737,-0.8087,2.4747,2.6268,-0.2192,0.5104,-0.4411,3.5077,2.826,3.2194,1.1852,-2.2338,3.5216,3.7566,3.1188,0.0688,1.1231
201412,-0.06,2.87,2.06,-1.17,0.88,0,5.8651,7.2282,5.4449,4.4444,3.5006,1.0212,3.8135,2.7385,2.9931,2.5117,1.7379,0.7546,0.569,1.9614,-0.2251,0.3979,0.338,0.8353,0.7999,0.2777,-1.3694,-1.0397,-0.4006,0.2384,2.45
201501,-3.11,-0.87,-3.47,1.71,-1.71,0,-3.5605,-6.5956,-4.6031,-4.8697,-5.0555,-1.7208,-4.1117,-4.4434,-5.0823,-6.6151,-0.8941,-1.1507,-4.0482,-4.7404,-4.8843,-1.3478,-2.2704,-0.9992,-1.5696,-3.9805,-0.8137,-2.7358,-4.1647,-3.9124,-7.5465
201502,6.13,0.21,-1.79,-1.11,-1.71,0,4.3745,6.1702,6.2741,5.3539,5.6451,7.0678,8.7356,6.3087,5.8749,4.8106,7.9745,7.9591,8.2177,6.8533,5.7953,7.8003,6.8991,7.5049,5.0475,8.783,6.4342,5.5128,6.7854,4.0966,5.9175
201503,-1.12,3.05,-0.46,-0.01,-0.52,0,-0.9699,2.6947,2.4829,1.5021,1.0778,2.905,2.3814,0.3573,2.7907,1.3826,0.8269,0.9816,2.1499,1.1092,0.6142,0.9387,0.9361,1.3352,-1.634,-0.5952,-1.5666,-1.8225,-2.0715,-2.2469,-1.4654
201504,0.59,-3.04,1.86,-0.06,-0.5,0,-3.8658,-2.5363,-2.8545,-2.1251,-0.3581,-3.8859,-2.6841,-2.36,-0.1235,-0.6097,-3.0422,-1.547,-1.1147,-1.1632,-0.2205,-1.5184,0.1349,-1.579,-0.7783,0.7785,0.1885,0.8708,1.4269,3.7601,1.5807
201505,1.36,0.76,-1.37,-1.7,-0.75,0,3.2782,5.4199,0.5957,0.3474,-0.0686,2.9172,5.3488,2.5934,1.5057,-0.5495,4.4523,2.1676,3.5842,2.0245,0.8847,1.7004,2.0122,2.2128,1.3542,-0.0348,1.8865,0.5723,1.1561,0.1777,1.7383
201506,-1.53,2.85,-0.79,0.58,-1.49,0,4.0957,2.5425,1.9824,2.336,1.8441,1.0066,1.5766,-0.7179,0.6272,0.1731,1.3753,0.3805,-0.4645,-1.994,-0.2039,-1.3263,-0.2714,-2.2642,-2.6836,0.469,-0.6569,-3.1967,-2.1864,-2.3843,-0.8132
201507,1.54,-4.57,-4.12,0.02,-2.57,0,-5.1482,-1.9913,-4.9877,-5.2983,-6.471,-0.1886,-1.435,-1.1891,-3.389,-5.3543,2.2856,0.1243,-3.64,-3.5902,-6.9992,2.2586,0.0297,-0.5296,2.0253,-2.1959,3.5414,2.8676,0.5365,-0.1386,0.4929
201508,-6.04,0.41,2.68,0.66,1.22,0,-8.3465,-7.531,-4.5261,-3.7037,-0.9931,-9.9131,-5.5559,-3.7324,-5.0049,-4.5041,-7.8563,-5.3013,-4.2091,-3.7929,-2.9273,-8.2472,-4.9304,-4.6356,-3.2367,-5.7893,-5.9317,-6.5015,-6.0677,-5.2241,-7.6264
201509,-3.08,-2.79,0.52,1.83,-0.52,0,-8.1774,-9.3405,-5.8372,-3.833,-6.0413,-9.2651,-5.7375,-4.6756,-3.0287,-5.4176,-6.0699,-3.8534,-5.4739,-5.0505,-5.8354,-5.5418,-3.6092,-4.9146,-2.4433,-5.283,-1.7166,-2.7739,-2.3975,-1.324,-5.6546
201510,7.75,-2.15,-0.08,0.81,0.46,0,6.2572,6.6188,5.6089,5.0954,4.4513,2.7552,7.2351,6.2979,5.6392,5.5054,3.753,6.0681,8.381,4.9965,7.154,6.5913,7.0123,6.899,3.2551,5.4567,8.4122,8.6942,8.6617,7.0258,7.6216
201511,0.56,3.33,-0.52,-2.58,-1.13,0,4.8541,5.3042,2.002,3.1599,2.0045,8.1985,2.2644,3.1142,5.17,5.2205,2.1229,2.316,0.634,2.3964,2.4105,1.2609,0.9774,0.4661,1.6819,0.5075,0.1378,0.0426,-0.7239,0.5141,3.1335
201512,-2.17,-2.98,-2.58,0.32,0.08,0.01,-4.0405,-4.9359,-5.1285,-5.3571,-4.5389,-2.7182,-4.1205,-5.5362,-5.5849,-6.4654,-3.0478,-4.9682,-4.7364,-6.2402,-9.2192,-2.9861,-3.1286,-4.8164,-4.9201,-6.2784,-1.2351,-1.2081,-2.4174,-0.9859,-4.1703
