,Mkt-RF,SMB,HML,RMW,CMA,RF,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
200901,-8.12,-2.09,-11.1,0.12,-1.19,0,-6.8473,-7.6717,-9.7263,-15.751,-15.3064,-6.9653,-5.4434,-11.1576,-13.9183,-19.5914,-5.9841,-8.7278,-8.7114,-6.6411,-18.3193,-4.4718,-6.1899,-6.7698,-9.0176,-17.0359,-3.2003,-9.7497,-10.8447,-18.8152,-12.6531
200902,-10.1,-1.19,-7.25,1.55,-1.11,0.01,-11.0473,-10.5707,-12.488,-13.2063,-14.9318,-10.0414,-8.6744,-10.6624,-13.4967,-21.5554,-6.4117,-10.7772,-9.4823,-12.6188,-11.4569,-6.7048,-8.3005,-11.0107,-14.0597,-15.1537,-7.839,-9.2991,-11.9716,-19.6016,-11.7427
200903,8.95,0.67,3.52,-2.29,-2.25,0.02,10.5702,11.4523,10.6223,7.7757,10.3681,8.2939,11.1464,9.6791,7.4641,13.8979,8.8405,9.2867,9.99,8.6149,13.2933,8.3747,9.2564,7.4135,11.0382,10.469,8.1273,8.3737,9.6625,11.7664,11.5968
200904,10.19,6.75,5.46,0.46,0.14,0.01,18.915,15.9326,15.9777,16.0347,17.3432,16.0535,17.8163,15.3889,13.7289,19.1497,14.1193,18.1893,13.8525,16.2449,15.7929,11.2517,13.9859,16.8805,14.3777,17.0324,6.7631,7.0867,10.8911,13.8286,23.6264
200905,5.21,-2.33,-0.21,-1.08,-2.12,0,6.0813,5.6241,4.6832,4.3968,3.8653,4.3355,2.7233,2.6717,0.5533,4.8252,3.9147,1.4203,2.8647,1.2742,-1.1027,3.6998,2.7353,4.9497,8.6146,3.8582,5.1263,5.3799,4.859,8.3486,7.3482
200906,0.43,2.29,-2.71,-1.1,-0.16,0.01,7.8385,5.2222,4.2376,2.6084,3.1348,6.3882,1.7937,1.1279,-2.3057,0.4471,1.8205,1.5176,-1.6709,0.4515,0.2079,1.9469,0.5313,-1.2511,-0.6853,-0.1776,1.7923,-1.6025,-0.1781,-0.8854,-1.6572
200907,7.72,2.45,5.27,-0.72,3.21,0.01,8.6346,7.2777,9.1945,8.8982,13.7672,5.9891,6.945,12.1772,11.8954,13.377,6.9471,9.4486,10.0008,12.33,16.1072,7.6747,7.6476,9.4109,12.0153,11.0886,5.9145,8.842,7.6717,8.533,9.2835
200908,3.33,0.03,7.76,-3.08,3.2,0.01,3.539,2.3466,3.6021,3.8684,10.1585,0.0246,0.7571,3.2678,4.1975,8.023,0.9976,0.9972,3.8186,4.478,11.6013,2.031,4.3861,3.2734,6.1339,15.3186,1.2249,4.4365,2.5292,6.2615,14.6504
200909,4.08,2.69,0.92,1.5,0.4,0.01,5.1408,5.4356,4.9629,6.3982,9.0533,8.0062,6.1326,7.3914,5.4986,8.0302,6.6861,4.0445,6.6477,7.9274,6.9929,6.8515,5.0091,6.1343,6.4987,8.5431,3.4953,2.7114,4.145,5.1229,0.5066
200910,-2.59,-4.79,-4.18,4.33,-1.68,0,-10.2792,-7.4671,-6.8519,-7.6897,-9.0441,-7.3445,-5.1876,-7.0288,-9.3955,-10.0424,-5.0087,-3.6388,-5.3937,-5.498,-9.6849,-4.6154,-2.7914,-4.0352,-7.4471,-6.3641,0.2124,-1.0953,-3.0771,-3.4483,-10.0005
200911,5.56,-2.81,-0.17,0.8,0.15,0,0.165,-1.0475,3.552,1.2632,1.6292,2.3492,1.2254,2.3326,3.048,5.7456,3.1981,3.3105,1.354,6.6218,7.2916,4.4,4.4198,4.396,4.3648,4.3928,7.0459,5.3875,4.4121,4.6098,5.8363
200912,2.75,6.24,0.01,0.41,-0.08,0.01,5.9946,8.271,7.7568,7.9386,10.2611,9.3925,9.1897,9.3224,7.4389,9.2763,6.9436,7.2465,7.026,7.4352,8.4602,6.0971,4.4494,7.7249,5.8054,6.4632,0.9048,2.5155,2.8271,1.7739,-1.9531
201001,-3.36,0.31,0.31,-1.15,0.43,0,-4.0622,-5.123,-4.1145,-3.7984,-1.1344,-3.1427,-3.5197,-0.9059,-2.8373,-3.8903,-3.6435,-3.2886,-3.9344,-3.8989,-3.0181,-3.8331,-3.6378,-5.194,-2.0397,-2.3055,-4.1191,-3.6564,-0.8994,-4.8511,-1.419
201002,3.4,1.47,3.17,-0.37,1.41,0,3.858,4.0006,4.9431,5.279,6.9355,2.0852,3.5298,2.5881,6.1092,5.5151,4.1068,3.9551,4.1336,6.898,8.9695,4.8306,7.0593,5.0391,3.9994,6.5729,2.4881,3.0558,2.5784,4.131,5.9635
201003,6.31,1.8,2.1,-0.46,1.69,0.01,7.2066,6.6017,8.1687,6.915,9.91,6.8577,8.1519,7.93,7.259,11.3525,9.4071,6.8104,9.1881,7.7963,7.686,8.1991,6.3263,7.9538,5.7376,12.1351,5.1371,5.5585,6.1537,6.7749,8.3203
201004,2,5.05,2.81,1,1.72,0.01,6.6718,6.9398,5.7058,10.0457,12.0676,2,5.818,5.3719,6.553,7.211,2.922,5.8813,3.244,5.4602,5.7208,3.9837,4.5478,3.3262,7.0332,4.7657,0.3386,2.6289,1.7279,-1.4683,2.6299
201005,-7.89,0.05,-2.38,1.25,-0.22,0.01,-7.5017,-5.3056,-7.0074,-9.4148,-10.4536,-4.8198,-6.28,-7.489,-9.0595,-9.8144,-6.3591,-6.3158,-6.5589,-9.6301,-9.2366,-5.1397,-8.3521,-8.7208,-6.9844,-7.9704,-7.4712,-7.8419,-9.2162,-7.5657,-10.0445
201006,-5.56,-2.54,-4.5,-0.25,-1.52,0.01,-6.9989,-7.0608,-6.8192,-7.2984,-11.5687,-5.3346,-5.0763,-7.7811,-10.1099,-12.566,-5.7095,-6.103,-7.1498,-7.5309,-11.8053,-4.4154,-6.067,-7.48,-8.4454,-9.7449,-3.8675,-6.859,-3.1738,-7.3211,-9.7677
201007,6.93,0.08,-0.26,0.33,1.99,0.01,6.0948,5.3357,7.0835,6.0452,6.1248,6.8585,8.1903,6.2907,7.2036,6.1464,6.577,7.3062,5.0446,8.0855,7.9891,6.9327,6.4282,8.5226,8.0644,6.4438,6.993,5.8671,7.6826,7.4933,5.4387
201008,-4.77,-3.11,-1.96,0.54,-1.7,0.01,-8.6752,-8.3839,-8.6325,-9.8078,-9.2155,-5.5953,-8.3768,-8.5427,-6.5994,-8.3265,-4.396,-6.1295,-8.2788,-6.6838,-6.4148,-4.3099,-4.6185,-5.4972,-4.1776,-6.1855,-4.0958,-3.7301,-2.3047,-5.2254,-8.7427
201009,9.54,3.73,-3.12,-0.15,0.48,0.01,11.4598,11.1508,13.4166,11.8094,10.222,15.0364,15.0146,13.3213,10.598,11.3616,12.6575,14.0189,12.2477,11.426,10.9953,12.1064,11.3236,10.8583,7.6312,9.7537,10.1916,8.1623,8.294,7.4387,7.2862
201010,3.88,0.79,-2.59,1.39,-0.23,0.01,6.5729,5.1142,5.794,5.0783,3.5681,3.539,4.2953,3.7033,3.2698,2.6191,4.4916,3.9593,4.5448,3.8483,3.1714,3.2035,4.6474,4.1812,1.7856,0.3295,4.8266,4.476,4.1237,1.8184,0.0004
201011,0.6,3.59,-0.9,0.33,1.63,0.01,1.5636,3.6661,5.4603,4.2276,3.4335,3.3482,4.5091,3.2953,3,4.408,3.7786,5.7085,2.447,3.7754,1.5962,4.6159,3.6987,2.7015,1.3251,-0.6537,-0.9345,2.1989,-0.7095,-0.1651,-3.3022
201012,6.82,0.96,3.82,-3.64,3.23,0.01,10.0469,8.0415,7.5878,8.6681,9.4987,7.8425,7.4388,7.8609,8.0373,10.327,6.2908,7.8666,8.7402,7.0393,8.3042,4.9828,7.0734,7.5152,8.9611,9.4169,4.4068,6.1664,6.6537,9.1544,13.9114
201101,1.99,-2.39,0.83,-0.82,0.7,0.01,-2.9531,-1.8385,-1.4994,-1.0345,-0.9053,0.7525,-0.6154,2.0171,0.0249,2.4796,1.9938,1.8231,-0.4183,3.8275,-0.5908,1.8178,3.6878,1.7391,1.8649,0.7969,1.3073,3.5996,2.8173,2.5427,3.3646
201102,3.49,1.64,1.08,-1.99,0.94,0.01,1.3723,5.2999,3.8139,4.8326,6.4286,5.6665,6.965,6.347,4.7208,5.4716,5.1197,6.3391,5.6419,5.1572,4.3091,4.6428,4.2079,4.1968,3.8385,2.4825,1.8858,3.6967,5.074,3.7809,4.2459
201103,0.45,2.67,-1.57,1.56,-0.03,0.01,3.4903,4.5502,0.928,2.0679,1.658,2.5888,2.6027,3.041,1.4039,3.3482,4.8772,3.0971,2.7191,2.4012,1.7692,1.8284,3.2499,2.4797,0.8704,0.2955,-0.1259,-0.1114,1.4475,-0.3777,-2.7871
201104,2.9,-0.51,-2.53,1.13,-0.85,0,2.613,0.8446,0.5809,1.4936,0.3156,4.2454,2.1325,2.2685,1.8885,-0.0837,4.0252,3.9463,3.2939,3.0026,1.9733,3.3924,1.7267,1.7871,2.8739,2.3315,3.6352,4.504,3.4383,0.6514,1.0266
201105,-1.27,-0.68,-2.07,2,-1.5,0,-1.0087,-1.2009,-2.346,-4.3593,-2.7987,-1.9648,-1.3119,-0.5394,-3.5113,-3.102,-1.4884,-1.231,-1.6391,-4.2616,-0.4644,0.232,-0.5167,-1.3847,-1.2304,-0.8777,0.0271,-2.4156,-1.3492,-2.1269,-3.4361
201106,-1.75,0.09,-0.33,2.34,-1.46,0,-4.4823,-3.5756,-2.4074,-1.75,-2.4733,-0.9,-2.172,-1.3922,-0.5096,-1.5864,-0.8642,-2.0652,-1.7419,-0.9649,-3.6082,-1.5136,-2.0315,-2.94,-2.0306,-1.9402,-1.1662,-1.7893,-2.1701,-1.5178,-2.6407
201107,-2.36,-1.28,-1.23,2.39,-1.82,0,-5.1411,-2.9168,-2.9655,-1.2099,-1.4558,-3.6091,-3.6302,-5.2509,-3.0079,-5.6373,-4.8051,-3.8539,-3.1432,-5.1739,-3.9894,-4.2804,-3.2701,-3.7506,-2.7852,-3.7831,0.1408,-1.7463,-1.4538,-3.9655,-5.477
201108,-5.99,-3.21,-2.44,3.16,-0.23,0.01,-12.2698,-12.1271,-8.8724,-10.4364,-9.7287,-9.3403,-8.7941,-10.352,-7.949,-10.9226,-7.421,-8.3375,-8.3879,-8.7045,-9.3124,-7.9978,-7.7235,-8.8211,-8.6714,-6.7735,-3.7475,-4.6664,-6.9631,-3.895,-11.6246
201109,-7.59,-3.74,-1.46,1.9,0.23,0,-11.3747,-12.7857,-10.7912,-10.9101,-10.3686,-10.419,-11.9318,-11.8347,-10.7002,-10.9002,-10.3191,-12.9334,-11.8282,-11.0473,-10.8268,-9.0978,-11.0662,-12.5487,-8.9114,-9.5562,-6.2302,-5.0289,-7.0642,-5.8328,-13.7443
201110,11.35,3.57,-0.17,-1.96,-0.85,0,12.7765,15.2144,14.5428,14.8825,10.0846,17.9882,14.8176,16.3455,15.0213,14.8697,14.1305,16.6914,17.1606,15.1928,12.4701,15.0001,15.8558,15.5093,11.8428,12.2514,9.2887,10.5424,12.639,8.8392,15.0436
201111,-0.28,-0.27,-0.34,1.76,1.52,0,-2.3941,-1.0101,-3.0026,-1.0819,-0.2189,-0.208,-2.0079,-0.0715,1.7968,0.2996,-1.4029,1.3832,-0.6571,1.2789,-0.1114,-0.5127,-0.7013,1.2309,1.467,-1.3298,-0.6039,1.2976,0.808,0.0343,-6.2872
201112,0.74,-0.45,1.75,0.78,2.39,0,-0.5296,1.9776,0.8784,1.9127,1.3297,-0.8658,0.4528,1.383,0.5667,1.2198,-2.1265,-0.2631,0.379,0.1637,2.9906,-2.5647,0.4679,-0.4221,3.9935,-0.3183,-0.4142,0.7776,2.1081,3.496,1.3697
201201,5.05,2.16,-1.11,-1.84,-1.38,0,12.5284,7.5362,7.4175,7.7012,7.6754,7.969,5.9429,7.7663,5.4443,5.3054,8.1017,5.4482,7.3663,5.7597,2.7214,9.6155,6.3738,4.9484,3.199,4.1621,7.1775,2.5414,2.0436,2.1654,9.2604
201202,4.42,-1.63,0.09,-0.21,-0.08,0,1.2453,0.7963,1.3222,1.0233,2.598,4.112,3.7074,1.3678,2.7195,4.5585,4.1552,3.7891,3.6211,4.0399,3.6348,4.728,5.3059,3.7889,3.6371,6.0818,5.2118,2.9635,3.9632,4.6119,6.8244
201203,3.11,-0.44,0.87,-0.39,0.79,0,2.6218,3.5184,3.4639,3.1441,4.8355,1.839,1.754,2.7414,3.8087,2.7545,1.5167,1.2193,1.7566,1.7415,-0.424,4.5096,0.3038,-0.8722,2.5827,1.8312,4.1975,2.1281,0.4731,3.6525,7.797
201204,-0.85,-0.58,-0.46,1.1,0.65,0,-3.7528,-2.1486,-1.8069,-1.6802,-0.1756,-0.0509,-2.6213,-2.1535,-2.4557,-1.8356,-2.4227,-0.7977,-1.3052,-1.0068,0.4023,-0.5999,0.2426,-0.3768,0.8237,-3.1863,-0.2753,-0.8197,-0.0443,-0.6624,-4.006
201205,-6.19,-0.09,-0.62,2.27,2.37,0.01,-8.4995,-5.6465,-7.2323,-8.1796,-4.9314,-5.7645,-5.8499,-7.6755,-5.3379,-7.2916,-6.5277,-6.8978,-7.6391,-6.1253,-6.8951,-7.2575,-8.5972,-9.3574,-6.3897,-5.7102,-6.2796,-5.2724,-5.1515,-2.8059,-12.6471
201206,3.89,0.95,0.44,-1.23,0.34,0,7.0023,7.7238,5.4119,5.7709,5.4445,6.3782,4.6183,4.7432,2.9877,5.1919,5.2388,2.7118,2.4336,2.4681,3.5,0.4826,1.789,3.4632,2.7084,3.5685,2.6214,4.4879,4.6324,5.4508,5.9293
201207,0.79,-2.64,-0.26,1.14,0.1,0,-2.6008,1.278,-2.9281,-1.695,-2.3957,-4.1286,-0.2509,-1.1257,-1.3191,-0.4583,-2.0122,-0.266,-0.2724,0.5021,-4.6355,-2.4354,0.3026,-0.3018,-0.618,-1.1813,1.0984,2.5557,1.217,1.9324,-1.2911
201208,2.55,0.46,1.32,-1.19,-0.75,0.01,2.5308,0.4876,3.9434,2.8143,3.3491,2.0811,2.3864,3.0053,3.3427,3.465,5.4034,3.085,4.3261,4.2043,3.4599,4.0954,4.1647,2.3299,3.9868,6.0006,2.7304,2.008,1.4008,-0.2497,6.6012
201209,2.73,0.68,1.54,-1.36,1.58,0.01,5.0043,5.1366,4.7307,4.587,4.5407,4.9037,3.4957,4.0996,3.8428,3.5052,2.6494,1.5455,1.9474,2.8209,3.6047,1.9974,2.0379,2.6947,2.3823,3.2987,1.5603,2.3757,3.8939,3.2243,5.3173
201210,-1.76,-0.8,3.79,-1.35,2.29,0.01,-5.6041,-4.4292,-3.7449,-3.4515,-1.1848,-6.0189,-2.2669,-1.1498,-1.7988,-1.0151,-3.9704,0.3543,-0.4247,0.7212,0.0592,-1.1981,0.0129,-0.7423,1.4008,1.099,-4.0508,-0.9652,-1.5873,-1.8432,4.0016
201211,0.78,0.35,-0.96,0.68,0.93,0.01,-0.6239,1.9166,0.7686,-0.5292,1.1513,-0.5924,0.4327,0.4249,0.4592,2.6845,2.8658,3.455,2.5727,1.3476,0.9697,2.8671,3.1517,0.6445,-0.46,0.8611,1.6972,0.2193,-0.489,-0.581,-1.4387
201212,1.18,1.87,3.56,-1.98,0.86,0.01,0.3402,3.672,3.9519,4.4356,4.4479,3.8456,3.1206,3.857,3.6088,4.8296,2.4111,3.8337,2.1805,2.7587,4.6263,1.8788,2.2407,3.3748,3.9509,3.1848,-1.05,-0.1614,1.6935,1.5144,7.498
201301,5.57,0.55,0.95,-1.66,1.49,0,6.6974,4.2829,6.011,5.5822,5.6356,7.659,6.2905,6.4485,7.7058,4.0509,5.3628,6.3228,6.3335,6.6405,8.5929,7.3357,6.6655,7.6642,8.5505,9.3833,3.6108,5.4075,5.6548,6.5886,6.7644
201302,1.29,-0.37,0.03,-0.69,0.47,0,-1.2635,-0.1776,-0.5974,1.9268,1.5903,1.0105,1.2848,0.7263,2.0213,1.1364,0.5432,0.9836,1.1837,2.0278,1.174,0.7158,1.4977,1.8929,0.1647,2.6922,0.9476,1.4179,1.9687,2.9335,0.0184
201303,4.03,0.77,-0.29,0.08,1.37,0,7.5616,6.7473,5.0441,3.9355,4.5695,5.2174,4.7393,3.9224,4.4723,4.2678,4.126,4.7349,5.8068,3.1602,6.104,3.9717,4.2459,5.4346,5.252,5.9718,3.6589,3.3625,4.2151,4.5953,3.2178
